ref_month,release_date,yoy
2023-12,2024-01-12,3.37
2024-01,2024-02-12,3.36
2024-02,2024-03-12,3.42
2024-03,2024-04-12,3.34
2024-04,2024-05-12,3.41
2024-05,2024-06-12,3.45
2024-06,2024-07-12,3.41
2024-07,2024-08-12,3.44
2024-08,2024-09-12,3.40
2024-09,2024-10-12,3.49
2024-10,2024-11-12,3.42
2024-11,2024-12-12,3.46
2024-12,2025-01-12,3.51
2025-01,2025-02-12,3.42
2025-02,2025-03-12,3.48
2025-03,2025-04-12,3.46
2025-04,2025-05-12,3.50
2025-05,2025-06-12,3.43
2025-06,2025-07-12,3.46
2025-07,2025-08-12,3.47
