ref_month,vintage_date,nowcast
2023-12,2023-12-15,3.37
2024-01,2024-01-15,3.38
2024-02,2024-02-15,3.39
2024-03,2024-03-15,3.39
2024-04,2024-04-15,3.40
2024-05,2024-05-15,3.41
2024-06,2024-06-15,3.42
2024-07,2024-07-15,3.42
2024-08,2024-08-15,3.43
2024-09,2024-09-15,3.44
2024-10,2024-10-15,3.44
2024-11,2024-11-15,3.45
2024-12,2024-12-15,3.45
2025-01,2025-01-15,3.46
2025-02,2025-02-15,3.46
2025-03,2025-03-15,3.47
2025-04,2025-04-15,3.47
2025-05,2025-05-15,3.46
2025-06,2025-06-15,3.46
2025-07,2025-07-15,3.45
